PaperName,URL,LastEdited,Disciplines,Tags
Assessing Psychological Pain Among Individuals With Chronic Pain: Invariant Factor Structure of the Psychache Scale,https://psyarxiv.com/48aqm/,"Jun 28, 2021","['Social and Behavioral Sciences', 'Clinical Psychology', 'Assessment', 'Depressive Disorders', 'Somatization']","['Catastrophizing', 'Chronic pain', 'Depression', 'Factor analysis', 'Measurement invariance', 'Psychological pain']"
"Significant reduction in depressive symptoms among patients with at least moderately severe depressive symptoms after participation in a therapist-supported, evidence-based program delivered via a smartphone app",https://psyarxiv.com/bx79a/,"Mar 14, 2020","['Social and Behavioral Sciences', 'Clinical Psychology', 'Depressive Disorders']","['Depression', 'digital health', 'digital medicine', 'evidence based intervention', 'mobile health intervention', 'severe depression', 'smartphone app']"
Neuroticism and reward-related ventral striatum activity: Probing vulnerability to stress-related depression,https://psyarxiv.com/5wd3k/,"May 7, 2020","['Social and Behavioral Sciences', 'Clinical Psychology', 'Neuroscience']",[]
The Joint Contributions of Maternal Depression and Infant Negative Emotionality to Maternal Sensitivity to Infant Distress,https://psyarxiv.com/7pshj/,"Jul 2, 2018","['Social and Behavioral Sciences', 'Developmental Psychology']","['maternal sensitivity', 'negative emotionality', 'postnatal depression']"
Loneliness in Kenyan Adolescents: Socio-Cultural Factors and Network Association with Depression and Anxiety Symptoms,https://psyarxiv.com/bmh7q/,"Feb 12, 2021","['Social and Behavioral Sciences', 'Quantitative Methods', 'Mathematical Psychology', 'Cultural Psychology', 'Cross-cultural Psychology', 'Clinical Psychology', 'Clinical Child Psychology', 'Depressive Disorders', 'Anxiety Disorders', 'Statistical Methods']","['adolescents', 'anxiety', 'depression', 'loneliness', 'network analysis']"
A Systematic Review and Meta-Analytic Factor Analysis of the Depression Anxiety Stress Scales,https://psyarxiv.com/bzhgk/,"Feb 17, 2021","['Social and Behavioral Sciences', 'Clinical Psychology']","['anxiety', 'depression', 'Depression Anxiety Stress Scales', 'factor structure', 'meta-analytic factor analysis']"
Contributions of fixed mindsets and hopelessness to anxiety and depressive symptoms: A commonality analysis approach,https://psyarxiv.com/qtrxs/,"Jul 15, 2020","['Social and Behavioral Sciences', 'Clinical Psychology', 'Depressive Disorders', 'Anxiety Disorders']","['anxiety', 'anxiety mindset', 'commonality analysis', 'depression', 'emotion mindset', 'hopelessness']"
A randomised controlled trial of Memory Flexibility training (MemFlex) to enhance memory flexibility and reduce depressive symptomatology in individuals with Major Depressive Disorder,https://psyarxiv.com/vyst6/,"Nov 19, 2018","['Social and Behavioral Sciences', 'Clinical Psychology', 'Cognitive Psychology']","['autobiographical memory', 'depression', 'intervention', 'memory flexibility', 'training']"
Psychopathology and Perceived Discrimination Among Chinese International Students One Year into COVID-19: A Preregistered Comparative Study,https://psyarxiv.com/mtk7w/,"Jun 8, 2021","['Social and Behavioral Sciences', 'Clinical Psychology', 'Mental Disorders', 'Trauma and Stress', 'Anxiety Disorders', 'Depressive Disorders']","['anxiety', 'Chinese International Students', 'COVID-19', 'depression', 'discrimination', 'intersectionality', 'minority stress', 'psychopathology']"
Moral Injury and Light Triad traits: anxiety and depression in health-care personnel during the COVID-19 pandemic,https://psyarxiv.com/42a3p/,"Feb 13, 2021","['Social and Behavioral Sciences', 'Health Psychology', 'Mental Health', 'Clinical Psychology']","['Anxiety', 'COVID-19', 'Depression', 'health-care workers', 'Light Triad', 'Moral Injury']"
A Systematic Review and Meta-Analytic Factor Analysis of the Depression Anxiety Stress Scales,https://psyarxiv.com/bzhgk/,"Feb 17, 2021","['Social and Behavioral Sciences', 'Clinical Psychology']","['anxiety', 'depression', 'Depression Anxiety Stress Scales', 'factor structure', 'meta-analytic factor analysis']"
Loneliness in Kenyan Adolescents: Socio-Cultural Factors and Network Association with Depression and Anxiety Symptoms,https://psyarxiv.com/bmh7q/,"Feb 12, 2021","['Social and Behavioral Sciences', 'Quantitative Methods', 'Mathematical Psychology', 'Cultural Psychology', 'Cross-cultural Psychology', 'Clinical Psychology', 'Clinical Child Psychology', 'Depressive Disorders', 'Anxiety Disorders', 'Statistical Methods']","['adolescents', 'anxiety', 'depression', 'loneliness', 'network analysis']"
"Significant reduction in depressive symptoms among patients with at least moderately severe depressive symptoms after participation in a therapist-supported, evidence-based program delivered via a smartphone app",https://psyarxiv.com/bx79a/,"Mar 14, 2020","['Social and Behavioral Sciences', 'Clinical Psychology', 'Depressive Disorders']","['Depression', 'digital health', 'digital medicine', 'evidence based intervention', 'mobile health intervention', 'severe depression', 'smartphone app']"
Neuroticism and reward-related ventral striatum activity: Probing vulnerability to stress-related depression,https://psyarxiv.com/5wd3k/,"May 7, 2020","['Social and Behavioral Sciences', 'Clinical Psychology', 'Neuroscience']",[]
Psychopathology and Perceived Discrimination Among Chinese International Students One Year into COVID-19: A Preregistered Comparative Study,https://psyarxiv.com/mtk7w/,"Jun 8, 2021","['Social and Behavioral Sciences', 'Clinical Psychology', 'Mental Disorders', 'Trauma and Stress', 'Anxiety Disorders', 'Depressive Disorders']","['anxiety', 'Chinese International Students', 'COVID-19', 'depression', 'discrimination', 'intersectionality', 'minority stress', 'psychopathology']"
Estimating patient-specific treatment advantages in the ‘Treatment for Adolescents with Depression Study’,https://psyarxiv.com/mny85/,"Mar 7, 2019",['Psychiatry'],"['adolescent', 'cognitive therapy', 'effect heterogeneity', 'major depressive disorder', 'randomized controlled trial', 'second-generation antidepressive agents']"
Anhedonia in chronic pain and prescription opioid misuse,https://psyarxiv.com/ghrdb/,"Jul 9, 2020","['Neuroscience', 'Social and Behavioral Sciences', 'Psychiatry', 'Social and Personality Psychology', 'Behavioral Neuroscience']","['addiction', 'depression', 'hedonic', 'opioid', 'pain', 'pleasure', 'prescription opioid', 'reward']"
Individual response to antidepressants for depression in adults – a simulation study and meta-analysis,https://psyarxiv.com/m4aqc/,"Oct 2, 2019",['Psychiatry'],"['antidepressants', 'individual treatment response', 'major depressive disorder', 'personalized medicine', 'variability ratio']"
Predicting mental health treatment access in high-symptom adolescents: Machine learning approaches,https://psyarxiv.com/294ty/,"Sep 10, 2020","['Social and Behavioral Sciences', 'Clinical Psychology']","['adolescence', 'Depression', 'predictive modeling', 'treatment access']"
Altered resting-state connectivity within default mode network associated with late chronotype,https://psyarxiv.com/j5ay6/,"Nov 30, 2018",['Life Sciences'],"['Chronotype', 'Default Mode Network', 'Depression', 'FMRI']"
Comparison of Two Ecological Momentary Intervention Modules for Treatment of Depression on Momentary Positive and Negative Affect,https://psyarxiv.com/gub36/,"Jan 14, 2020","['Psychiatry', 'Social and Behavioral Sciences', 'Clinical Psychology', 'Quantitative Methods', 'Emotion']","['Affect', 'Clinical Psychology', 'Depression', 'Ecological Momentary Assessment', 'Emotions', 'Experience Sampling', 'linear mixed models', 'Measurement Reactivity', 'mental disorders', 'Momentary Affect', 'Pragmatic Clinical Trial', 'pre-registration', 'Psychiatry', 'psychopathology', 'time-series analysis']"
Psychological symptoms of the outbreak of the COVID-19 crisis and confinement in the population of Spain,https://psyarxiv.com/mq4fg/,"Oct 31, 2020","['Social and Behavioral Sciences', 'Health Psychology', 'Stress', 'Mental Health']","['Anxiety', 'COVID-19', 'Depression', 'Posttraumatic Stress Disorder', 'Stress']"
Correlates of Financial Concerns and Symptoms of Depression and Posttraumatic Stress Disorder in Impoverished Urban-dwelling Individuals in Bangladesh During the COVID-19 Pandemic: Face-to-face Interview Findings,https://psyarxiv.com/nfr5m/,"Feb 14, 2021",['Psychiatry'],[]
Delay Discounting in Suicidal Behavior: Myopic Preference or Inconsistent Valuation?,https://psyarxiv.com/tfp4d/,"Oct 4, 2020","['Social and Behavioral Sciences', 'Clinical Psychology', 'Depressive Disorders', 'Psychiatry']","['adults', 'delay discounting', 'impulsivity', 'psychopathology', 'reward', 'suicide']"
Examining early structural and functional brain alterations in postpartum depression through multimodal neuroimaging,https://psyarxiv.com/w98cq/,"Jan 12, 2021","['Psychiatry', 'Neuroscience', 'Clinical Neuroscience']","['multimodal neuroimaging', 'postpartum depression', 'resting-state', 'state characteristics', 'structural MRI', 'trait characteristics']"
Trajectories of depression and anxiety symptoms over time in the transition to university: Their co-occurrence and the role of self-critical perfectionism,https://psyarxiv.com/zxg8h/,"May 31, 2021","['Social and Behavioral Sciences', 'Developmental Psychology', 'Early Adulthood']","['Anxiety', 'Depression', 'Latent Class Growth Analysis', 'Perfectionism', 'University']"
"Prominent health problems, socioeconomic deprivation, and higher brain age in lonely and isolated individuals: A population-based study",https://psyarxiv.com/q8kjv/,"Aug 2, 2021","['Psychiatry', 'Life Sciences', 'Neuroscience', 'Behavioral Neuroscience', 'Social and Behavioral Sciences', 'Health Psychology', 'Social health', 'Mental Health', 'Health-related Behavior']","['Brain aging', 'Cardiovascular risk', 'Depression', 'Lifestyle behavior', 'Loneliness', 'Mental health', 'Neuroticism', 'Risk factors', 'Social isolation']"
Detached empathic experience of others’ pain in remitted states of depression – an fMRI study,https://psyarxiv.com/y845x/,"Nov 9, 2020","['Neuroscience', 'Cognitive Neuroscience', 'Psychiatry']","['Depression', 'Empathy', 'fMRI', 'Remission', 'Social Cognition']"
Exposure to COVID-19 Pandemic Stress: Associations with Depression and Anxiety in Emerging Adults in the U.S.,https://psyarxiv.com/aq6u5/,"Oct 26, 2020","['Social and Behavioral Sciences', 'Clinical Psychology', 'Depressive Disorders', 'Trauma and Stress', 'Anxiety Disorders']",[]
Psychological effects of the COVID-19 outbreak and lockdown among students and workers of a Spanish university,https://psyarxiv.com/2sc84/,"May 21, 2020","['Social and Behavioral Sciences', 'Health Psychology', 'Mental Health', 'Stress']","['Anxiety', 'COVID-19', 'Depression', 'Psychological impact', 'Stress', 'University students']"
Feelings of Worthlessness Links Depressive Symptoms and Parental Stress: A Network Analysis During the COVID-19 Pandemic,https://psyarxiv.com/w2eg3/,"May 8, 2021","['Social and Behavioral Sciences', 'Clinical Psychology', 'Depressive Disorders', 'Assessment', 'Life Sciences', 'Psychiatry', 'Mental Disorders', 'Quantitative Methods']","['COVID-19', 'depression', 'mechanisms', 'network analysis', 'parental stress']"
Can we change depressive beliefs? Modulation of belief updating by ketamine in treatment resistant depression,https://psyarxiv.com/zx5vr/,"Jun 29, 2021",['Psychiatry'],"['Belief updating', 'Expectancy', 'Ketamine', 'Mood disorders', 'Treatment Resistant Depression']"
Examining the clinical utility of using affective dynamics to characterize and predict depression symptoms within a comorbid sample,https://psyarxiv.com/uj5xd/,"Jul 30, 2021","['Social and Behavioral Sciences', 'Clinical Psychology']",[]
"Single-Session Digital Intervention for Adolescent Depression, Anxiety and Well-being: Outcomes of a Randomized Controlled Trial with Kenyan Adolescents",https://psyarxiv.com/kazpj/,"Apr 5, 2020","['Social and Behavioral Sciences', 'Clinical Psychology', 'Psychotherapy', 'Psychiatry', 'Depressive Disorders', 'Anxiety Disorders', 'Therapy', 'Intervention Research', 'Clinical Child Psychology']","['Adolescents', 'Anxiety', 'Depression', 'Digital Mental Health', 'Global Mental Health', 'Gratitude', 'Growth Mindset', 'Sub Saharan Africa', 'Value Affirmations']"
"Stuck in a lockdown: dreams, bad dreams, nightmares, and their relationship to stress, depression and anxiety during the COVID-19 pandemic",https://psyarxiv.com/hbm84/,"May 13, 2021","['Psychiatry', 'Social and Behavioral Sciences']","['anxiety', 'covid-19', 'depression', 'dreams', 'nightmares', 'stress']"
"Depression, anxiety and PTSD symptoms before and during the COVID-19 pandemic in the UK",https://psyarxiv.com/sf7b6/,"Jun 14, 2021","['Social and Behavioral Sciences', 'Clinical Psychology', 'Psychiatry']",[]
Digital phenotyping of complex psychological responses to the COVID-19 pandemic,https://psyarxiv.com/qtrpf/,"Oct 4, 2020","['Psychiatry', 'Social and Behavioral Sciences', 'Clinical Psychology']",[]
Disillusionment Predicts Depression,https://psyarxiv.com/ru7t3/,"Oct 10, 2020","['Social and Behavioral Sciences', 'Social and Personality Psychology', 'Well-being', 'Social Cognition', 'Interpersonal Relationships']",[]
"Finding the Power Within: Is Resilience Protective Against Symptoms of Stress, Anxiety, and Depression in Australian Parents During the COVID-19 Pandemic?",https://psyarxiv.com/v5gpm/,"Aug 28, 2020","['Social and Behavioral Sciences', 'Clinical Psychology', 'Mental Disorders', 'Developmental Psychology', 'Middle Adulthood', 'Emotional Development', 'Depressive Disorders', 'Early Childhood', 'Middle & Late Childhood']",[]
Replication of a tri-level model of anxiety and depression in a sample of young adults,https://psyarxiv.com/8mpd2/,"Apr 7, 2019","['Social and Behavioral Sciences', 'Clinical Psychology', 'Anxiety Disorders', 'Depressive Disorders']","['anxiety', 'classification of psychopathology', 'comorbidity', 'depression', 'structural models']"
"Bayes, Time Perception, and Relativity: The Central Role of Hopelessness.",https://psyarxiv.com/8pzfy/,"Jul 7, 2020","['Social and Behavioral Sciences', 'Cognitive Psychology', 'Consciousness', 'Psychology, other', 'Neuroscience']",[]
Availability of internet-based cognitive behavioral therapies (iCBTs) for depression: A systematic review,https://psyarxiv.com/2jwgd/,"May 20, 2020","['Social and Behavioral Sciences', 'Clinical Psychology', 'Depressive Disorders']","['cognitive-behavioral therapy (CBT)', 'Depression', 'interner-based CBT (iCBT)', 'mental health apps']"
Reduced Social Risk-Taking in Depression,https://psyarxiv.com/rdtzp/,"May 24, 2021","['Social and Behavioral Sciences', 'Clinical Psychology', 'Depressive Disorders']","['Affective Disorder', 'Depression', 'Evolutionary Theory', 'Risk-Taking', 'Social', 'Social Risk']"
Depression symptoms during the COVID-19 pandemic in different regions in Germany.,https://psyarxiv.com/p9wz8/,"Jul 13, 2020","['Social and Behavioral Sciences', 'Clinical Psychology', 'Depressive Disorders']","['COVID-19', 'depression', 'online survey']"
Increasing Anticipatory Pleasure in Major Depression through Enhancing Episodic Future Thinking: A Randomized Single-Case Series Trial,https://psyarxiv.com/9uy42/,"Jun 29, 2020","['Social and Behavioral Sciences', 'Clinical Psychology', 'Psychiatry']",['major depression; anticipatory pleasure; anhedonia; episodic future thinking']
"Personally salient, emotionally negative task contexts provoke goal neglect in depression",https://psyarxiv.com/4qkrn/,"Nov 19, 2018","['Social and Behavioral Sciences', 'Cognitive Psychology', 'Clinical Psychology']",[]
Modeling and Predicting Complex Patterns of Change Using Growth Component Models: An Application to Depression Trajectories in Cancer Patients,https://psyarxiv.com/6kd3w/,"Dec 10, 2019","['Social and Behavioral Sciences', 'Quantitative Methods', 'Quantitative Psychology']",[]
Specificity and detail in autobiographical memory retrieval: A multi-site (re)investigation.,https://psyarxiv.com/mb5g8/,"Nov 27, 2020","['Social and Behavioral Sciences', 'Cognitive Psychology', 'Memory', 'Clinical Psychology', 'Depressive Disorders']","['autobiographical memory', 'depression', 'detailedness', 'episodic detail', 'episodic specificity', 'memory specificity', 'meta-analysis']"
"Friendships, loneliness and psychological well-being in older adults: A limit to the benefit of the number friendships.",https://psyarxiv.com/9p8g7/,"May 13, 2021",['Life Sciences'],"['Friends', 'Loneliness', 'Older Adults', 'Well-being']"
How Self-Compassion Moderates the Effect of Body Surveillance on Subjective Happiness and Depression among Women,https://psyarxiv.com/5bdwf/,"Jun 28, 2021","['Social and Behavioral Sciences', 'Psychology, other', 'Social and Personality Psychology', 'Self and Social Identity', 'Social Well-being']",[]
Grey matter morphology as a predictor of individual response to cognitive behavioural therapy in depression - findings from a preliminary machine learning study.,https://psyarxiv.com/be9gc/,"Dec 24, 2018","['Neuroscience', 'Clinical Neuroscience', 'Psychiatry', 'Systems Neuroscience']","['Cognitive behaviour therapy', 'Grey matter morphology', 'Machine learning', 'response']"
Being yourself in adolescence? False self in the context of self-esteem and mental health among adolescents,https://psyarxiv.com/uw5fc/,"Mar 30, 2021","['Social and Behavioral Sciences', 'Developmental Psychology', 'Social and Personality Psychology', 'Self and Social Identity', 'Adolescence', 'Self-esteem', 'Clinical Psychology']","['adolescence', 'anxiety', 'depression', 'false self', 'self-esteem']"
Mood Symptoms Predict COVID-19 Pandemic Distress but not Vice Versa: An 18-Month Longitudinal Study,https://psyarxiv.com/6qske/,"Oct 13, 2020","['Social and Behavioral Sciences', 'Clinical Psychology', 'Anxiety Disorders', 'Depressive Disorders', 'Trauma and Stress', 'Psychiatry']","['Anxiety', 'COVID-19', 'Depression', 'Equivalence Testing', 'Psychological Stress']"
Standalone Apps for Anxiety and Depression Show Promising Early Efficacy: A Synthesis of Meta-Analytic Results,https://psyarxiv.com/v48w9/,"May 28, 2021","['Social and Behavioral Sciences', 'Clinical Psychology', 'Therapy', 'Psychiatry', 'Psychology, other', 'Quantitative Methods']","['Anxiety', 'Apps', 'Depression']"
Pregnancy during the pandemic: The impact of COVID-19-related stress on risk for prenatal depression,https://psyarxiv.com/3vsxc/,"Jan 2, 2021","['Social and Behavioral Sciences', 'Environmental Psychology', 'Natural Environments', 'Clinical Psychology', 'Depressive Disorders', 'Health Psychology', 'Mental Health', 'Trauma and Stress', 'Stress', 'Psychiatry']","['adversity', 'COVID-19', 'depression', 'pregnancy', 'stress']"
Children’s Neural Reactivity to Maternal Praise and Criticism: Associations with Early Depressive Symptoms and Maternal Depression,https://psyarxiv.com/5m7nd/,"Mar 24, 2021","['Social and Behavioral Sciences', 'Clinical Psychology', 'Depressive Disorders']","['Depression', 'Developmental Psychopathology', 'fMRI', 'Interpersonal Feedback', 'Maternal Criticism', 'Maternal Praise', 'MRI', 'Risk Factors']"
Hughes et al. (2020) 'I feel cancer patients have been neglected'.,https://psyarxiv.com/xfqr6/,"Sep 2, 2020","['Social and Behavioral Sciences', 'Health Psychology', 'Health-related Behavior', 'Illness']","['anxiety', 'Breast cancer', 'COVID-19', 'depression', 'isolation', 'mixed-methods', 'qualitative']"
A Reproduction of the Results of Onyike et al. (2003).,https://psyarxiv.com/hbnm9/,"Apr 8, 2021","['Social and Behavioral Sciences', 'Health Psychology', 'Mental Health']","['body mass index', 'body weight', 'depression', 'obesity', 'weighted survey']"
Reward and punishment reversal learning in major depressive disorder,https://psyarxiv.com/aqgx3/,"Sep 21, 2020","['Social and Behavioral Sciences', 'Clinical Psychology', 'Cognitive Psychology', 'Quantitative Methods', 'Computational Modeling', 'Psychiatry', 'Depressive Disorders', 'Learning']","['computational psychiatry', 'decision-making', 'major depressive disorder', 'reinforcement learning', 'reversal learning']"
How biopsychosocial depressive risk shapes behavioral and neural responses to social evaluation in adolescence.,https://psyarxiv.com/z2ryj/,"Nov 30, 2020",['Neuroscience'],"['adolescence', 'depression', 'PLS', 'resilience', 'risk']"
Central Symptoms Predict Post-Treatment Outcomes and Clinical Impairment in Anorexia Nervosa: A Network Analysis in a Randomized-Controlled Trial,https://psyarxiv.com/hw2dz/,"Dec 29, 2018","['Social and Behavioral Sciences', 'Clinical Psychology', 'Feeding and Eating Disorders']","['anorexia nervosa', 'anxiety', 'comorbidity', 'depression', 'eating disorders', 'network analysis', 'prognosis', 'randomized controlled trial']"
A novel resting-state functional magnetic resonance imaging signature of resilience to recurrent depression,https://psyarxiv.com/f8msc/,"Mar 22, 2021","['Psychiatry', 'Neuroscience', 'Clinical Neuroscience']","['clinical neuroscience', 'depression', 'major depression', 'mood disorders', 'neuropsychiatry', 'remission', 'remitted depression', 'resilience', 'resting fMRI', 'resting-state', 'resting-state fMRI', 'rsfMRI', 'sgACC', 'subgenual cingulate', 'subgenual cingulate cortex']"
A meta-analysis examining the association between maternal perfectionism and perinatal depression and anxiety,https://psyarxiv.com/2x8jr/,"Mar 29, 2021",['Psychiatry'],[]
The impact of COVID-19 pandemic on mental health & wellbeing among home-quarantined Bangladeshi students: A cross-sectional pilot study,https://psyarxiv.com/97s5r/,"Oct 3, 2020",['Psychiatry'],"['Anxiety', 'Bangladesh', 'COVID-19', 'Depression', 'Home-quarantine', 'Mental health & wellbeing', 'Stress', 'Students']"
Overgeneral and Specific Autobiographical Memory Predict the Course of Depression: An Updated Meta-Analysis,https://psyarxiv.com/gjwsb/,"Apr 26, 2021","['Social and Behavioral Sciences', 'Clinical Psychology', 'Depressive Disorders', 'Psychiatry', 'Cognitive Psychology', 'Memory']","['autobiographical memory specificity', 'course of depression', 'depression', 'meta-analysis', 'overgeneral memory']"
"Resilience, mood, and mental health outcomes during the first wave of the COVID-19 pandemic in Bulgaria",https://psyarxiv.com/8nraq/,"Jan 16, 2021",['Social and Behavioral Sciences'],"['Anxiety', 'COVID-19', 'Depression', 'Positive and Negative Mood', 'Resilience', 'Substance use']"
"A Unified Model of Reinforcement Sensitivity, Emotion Regulation, and Affective Psychopathology: Cross-sectional, Longitudinal and Quasi-Experimental Evidence",https://psyarxiv.com/wmr25/,"Apr 12, 2021","['Social and Behavioral Sciences', 'Clinical Psychology', 'Depressive Disorders', 'Trauma and Stress', 'Psychiatry', 'Anxiety Disorders']","['Anxiety', 'COVID-19', 'Depression', 'Diathesis Stress', 'Emotion Regulation', 'Punishment Sensitivity', 'Reinforcement Sensitivity', 'Reward Sensitivity', 'Transdiagnostic']"
"Stress, anxiety, depression and burnout in frontline health care workers during COVID-19 pandemic: a brief systematic review and new data from Russia",https://psyarxiv.com/je3ch/,"Jan 2, 2021",['Psychiatry'],"['anxiety', 'burnout', 'COVID-19', 'depression', 'health care workers', 'stress', 'suicide']"
How Negative Mood Hinders Belief Updating in Depression - Results from two Experimental Studies,https://psyarxiv.com/q76b4/,"Jan 21, 2021","['Social and Behavioral Sciences', 'Clinical Psychology', 'Depressive Disorders', 'Life Sciences', 'Psychiatry']",['depression; expectation; mood; belief updating; cognitive immunisation']
Association of COVID19-induced Anosmia and Ageusia with Depression and Suicidal Ideation,https://psyarxiv.com/qy2vu/,"Jan 31, 2021","['Social and Behavioral Sciences', 'Clinical Psychology', 'Health Psychology', 'Mental Health', 'Depressive Disorders', 'Psychiatry']",[]
"Cognitive therapy as an early treatment for children with PTSD: the outcomes for parents’ own PTSD, depression, anxiety and general mental health.",https://psyarxiv.com/e657k/,"May 25, 2021","['Social and Behavioral Sciences', 'Clinical Psychology', 'Trauma and Stress']",[]
Doomscrolling during COVID-19: The negative association between daily social and traditional media consumption and mental health symptoms during the COVID-19 pandemic,https://psyarxiv.com/s2nfg/,"Jul 31, 2021","['Social and Behavioral Sciences', 'Clinical Psychology', 'Trauma and Stress', 'Psychiatry']","['COVID-19', 'depression', 'doomscrolling', 'EMA', 'multilevel model', 'PTSD']"
Loneliness and social distancing during the COVID-19 pandemic: Risk factors and associations with psychopathology,https://psyarxiv.com/j9e4q/,"Nov 20, 2020","['Social and Behavioral Sciences', 'Psychiatry', 'Clinical Psychology', 'Anxiety Disorders', 'Depressive Disorders', 'Life Sciences']","['Anxiety', 'COVID-19', 'Depression', 'Epidemiology', 'Isolation', 'Loneliness', 'Physical distancing', 'Psychopathology', 'Quarantine', 'Risk Factors', 'SARS-CoV-2', 'Social distancing']"
"Perceptual insensitivity to the modulation of interoceptive signals in depression, anxiety, and substance use disorders",https://psyarxiv.com/9h327/,"Nov 30, 2020","['Social and Behavioral Sciences', 'Psychiatry', 'Neuroscience', 'Clinical Psychology', 'Perception', 'Emotion', 'Cognitive Psychology']","['anxiety', 'cardiac perception', 'depression', 'heartbeat', 'Interoception', 'interoceptive awareness', 'respiration', 'substance use disorder']"
How handling extreme C-reactive protein (CRP) values and regularization influences CRP and depression criteria associations in network analyses,https://psyarxiv.com/692m4/,"Oct 20, 2020","['Social and Behavioral Sciences', 'Clinical Psychology', 'Depressive Disorders', 'Health Psychology', 'Mental Health', 'Quantitative Methods', 'Statistical Methods', 'Psychiatry']","['depression', 'immunology', 'inflammation', 'network', 'network analysis', 'NHANES', 'phenotype', 'replication']"
“Tell me what I’m doing wrong”: Criticism of parenting choices and mental health during COVID-19,https://psyarxiv.com/vp985/,"May 3, 2021",['Social and Behavioral Sciences'],"['anxiety', 'Coronavirus', 'depression', 'mental health', 'pandemic', 'parenting stress']"
Frequency and network analysis of depressive symptoms in patients with cancer compared to the general population,https://psyarxiv.com/8r569/,"Jul 8, 2020","['Social and Behavioral Sciences', 'Clinical Psychology', 'Depressive Disorders']","['cancer', 'depression', 'neoplasms', 'network analysis', 'psycho-oncology']"
Computerised Memory Specificity Training (c-MeST) for the Treatment of Major Depression: A Study Protocol for a Randomised Controlled Trial,https://psyarxiv.com/2h39z/,"Jul 7, 2020","['Social and Behavioral Sciences', 'Clinical Psychology', 'Intervention Research', 'Depressive Disorders', 'Cognitive Psychology', 'Memory']","['depression', 'memory specificity', 'memory specificity training', 'MeST', 'online clinical trial', 'RCT']"
"The mental health crisis of expectant women in the UK: effects of the COVID-19 pandemic on prenatal mental health, antenatal attachment and social support",https://psyarxiv.com/4328p/,"Jun 1, 2021","['Social and Behavioral Sciences', 'Cognitive Psychology', 'Clinical Psychology', 'Trauma and Stress', 'Anxiety Disorders', 'Depressive Disorders']","['antenatal attachment', 'maternal mental health', 'pregnancy', 'prenatal trauma', 'social support']"
Lateralised attentional disruption and resource conservation in persistent depression and anhedonia,https://psyarxiv.com/p3n2v/,"May 21, 2021","['Social and Behavioral Sciences', 'Cognitive Psychology', 'Attention', 'Life Sciences', 'Perception', 'Clinical Psychology', 'Depressive Disorders']","['anhedonia', 'attention', 'depression', 'neglect']"
Problematic Media Use and Symptoms of Anxiety and Depression During the Pandemic: An Investigation among Peruvian Adolescents in low- and middle-income Settings,https://psyarxiv.com/yf7ac/,"Jul 19, 2021","['Social and Behavioral Sciences', 'Developmental Psychology', 'Adolescence']","['adolescents', 'anxiety', 'COVID-19', 'depression', 'Problematic media use']"
"Mental health concerns of undergraduate and graduate students: Depression, anxiety, eating concerns, and substance misuse",https://psyarxiv.com/fgb8q/,"Sep 25, 2020","['Social and Behavioral Sciences', 'Clinical Psychology']","['college counseling', 'college student mental health', 'mental health']"
Supporting Families to Protect Child Health: Parenting Quality and Household Needs During the COVID-19 Pandemic,https://psyarxiv.com/u5xzw/,"May 7, 2021","['Social and Behavioral Sciences', 'Developmental Psychology', 'Social Development', 'Clinical Psychology', 'Early Childhood', 'Attachment', 'Toddlerhood/Preschool Period']","['child development', 'COVID', 'depression', 'family', 'maternal-child health', 'mental health', 'parenting', 'psychology']"
Social Reinforcement Learning as a Predictor of Real-Life Experiences in Individuals with High and Low Depressive Symptomatology,https://psyarxiv.com/dq64x/,"Jul 18, 2020","['Social and Behavioral Sciences', 'Clinical Psychology', 'Depressive Disorders', 'Cognitive Psychology', 'Psychiatry']","['computational modelling', 'depression', 'learning', 'reward', 'social']"
Trait Mindfulness May Buffer Against the Deleterious Effects of Childhood Abuse in Recurrent Depression: A Retrospective Exploratory Study,https://psyarxiv.com/d2cyt/,"Jul 2, 2018","['Social and Behavioral Sciences', 'Clinical Psychology']",[]
Network structures and temporal stability of self- and informant-rated affective symptoms in Alzheimer’s disease,https://psyarxiv.com/7jwsk/,"Sep 23, 2020","['Social and Behavioral Sciences', 'Psychiatry', 'Neuroscience', 'Clinical Neuroscience', 'Quantitative Methods', 'Psychometrics', 'Behavioral Neuroscience']","['Alzheimer’s disease', 'anxiety', 'apathy', 'depression', 'Network analysis', 'neuropsychiatric symptoms']"
Getting stuck in social isolation: Solitude inertia and depressive symptoms,https://psyarxiv.com/6eusy/,"Oct 6, 2020","['Social and Behavioral Sciences', 'Social and Personality Psychology', 'Quantitative Methods', 'Clinical Psychology', 'Psychiatry']","['Depression', 'Dynamics', 'Social Isolation', 'Social Networks', 'Solitude', 'Solitude Inertia']"
Using a brief 11-item version of the RCADS to identify anxiety and depressive disorders in adolescents,https://psyarxiv.com/a42gw/,"Oct 5, 2020","['Social and Behavioral Sciences', 'Clinical Psychology', 'Depressive Disorders', 'Assessment', 'Diagnosis', 'Anxiety Disorders']","['adolescents', 'anxiety', 'depression', 'questionnaire development', 'screening']"
"I Need Help, not Likes: Review of Models to Detect Depression through Social Media Data",https://psyarxiv.com/wjyvz/,"Oct 7, 2020","['Social and Behavioral Sciences', 'Psychiatry']","['attention networks', 'depression', 'mental health', 'psychology', 'review paper']"
