PaperName,URL,LastEdited,Categories,Source
Why didn't economists predict the Great Depression?,http://mpra.ub.uni-muenchen.de/54214/1/MPRA_paper_54214.pdf,"Oct 29, 2015",[],RePEc
Right Wing Political Extremism in the Great Depression,http://www.economics.ox.ac.uk/materials/papers/5679/bromheadeichengreenorourke95.pdf,"Sep 26, 2013",[],RePEc
Love in the time of the depression: The effect of economic conditions on marriage in the Great Depression,http://econ-papers.upf.edu/papers/1454.pdf,"Oct 6, 2016",[],RePEc
The Lateral Habenula in Depression: A Mini-Review,/av6ke,"Jul 16, 2020","['Medicine and Health Sciences', 'Psychiatry and Psychology', 'Mental Disorders']",OSF Preprints
The psychological distress in students during the COVID-19 crisis: An 8-wave longitudinal study,https://psyarxiv.com/vtfxg/,"Sep 22, 2020","['Social and Behavioral Sciences', 'Psychology', 'Clinical Psychology']",PsyArXiv
A Framework to Improve the Quality of Treatment for Depression in Primary Care.,http://ps.psychiatryonline.org/article.aspx?articleID=96650,"Dec 26, 2013",[],RePEc
"Depression, Anxiety and Stress among Health Care Professionals on Duty in COVID-19 Wards",http://dx.doi.org/10.20944/PREPRINTS202010.0559.V1,"Oct 27, 2020",[],Preprints.org
Fiscal policies in Europe and the United States during the Great Depression,http://www.vatt.fi/publications/latestPublications/publication/Publication_1345_id/850,"Dec 12, 2013",[],RePEc
Youth Depression and Future Criminal Behavior,http://www.nber.org/papers/w18656.pdf,"May 16, 2013",[],RePEc
The Effect of 10 Week Exercise Program on the Depression Level of the Adolescents,http://iises.net/proceedings/27th-international-academic-conference-prague/table-of-content/detail?cid=53&iid=027&rid=6911,"Nov 17, 2016",[],RePEc
Contributions from resting state functional connectivity and familial risk to early adolescent-onset MDD: Results from the Adolescent Brain Cognitive Development study,https://psyarxiv.com/ypr6d/,"Sep 26, 2020","['Social and Behavioral Sciences', 'Psychology', 'Developmental Psychology', 'Life Sciences', 'Neuroscience and Neurobiology', 'Child Psychology', 'Cognitive Neuroscience', 'Medicine and Health Sciences', 'Medical Specialties', 'Psychiatry']",PsyArXiv
Profiles of Psychosocial and Clinical Functioning in Adolescence and Risk for Later Depression,https://psyarxiv.com/umc2x/,"Jul 28, 2020","['Social and Behavioral Sciences', 'Psychology', 'Clinical Psychology']",PsyArXiv
Depressive Traits and Theory of Mind in Healthy Individuals: A Mediation Study,https://thesiscommons.org/ndjcr/,"Aug 26, 2018","['Social and Behavioral Sciences', 'Psychology', 'Clinical Psychology', 'Life Sciences']",Thesis Commons
"A reassessment of the relationship between depression and all-cause mortality in 3,604,005 participants from 293 studies",https://psyarxiv.com/pu3w7/,"Jul 2, 2018","['Social and Behavioral Sciences', 'Psychology', 'Clinical Psychology', 'Quantitative Psychology', 'Life Sciences']",PsyArXiv
"The role of real wages, productivity, and fiscal policy in Germany's Great Depression, 1928-37",http://www.richmondfed.org/publications/research/working_papers/2001/pdf/wp01-7.pdf,"Feb 25, 2016",[],RePEc
"The Great Recession in the Shadow of the Great Depression: A Review Essay on “Hall of Mirrors: The Great Depression, The Great Recession and the Uses and Misuses Of History”",http://www.nber.org/papers/w22239.pdf,"May 12, 2016",[],RePEc
"Association among Socioeconomic Status, Health and Function-related Variables, and Onset of Depression in the Case of Middle-aged and Older People in Japan",http://www.rieti.go.jp/jp/publications/dp/16e069.pdf,"May 12, 2016",[],RePEc
Attenuated sensory precision and contextual prediction error in persistent depression,https://psyarxiv.com/d8pbc/,"May 21, 2021","['Social and Behavioral Sciences', 'Psychology', 'Clinical Psychology', 'Life Sciences', 'Neuroscience and Neurobiology', 'Computational Neuroscience']",PsyArXiv
The Finnish Great Depression: From Russia with Love,http://ftp.iza.org/dp4113.pdf,"May 15, 2014",[],RePEc
The Great Depression and the Friedman-Schwartz Hypothesis,http://www.nber.org/papers/w10255.pdf,"Mar 16, 2017",[],RePEc
The Great Depression and the Friedman-Schwartz Hypothesis,http://papers.nber.org/papers/w10255,"Nov 24, 2016",[],RePEc
"Media Consumption and Mental Health during COVID-19 lockdown: A UK Cross-sectional study across England, Wales, Scotland and Northern",https://psyarxiv.com/5d9fc/,"Feb 2, 2021","['Life Sciences', 'Social and Behavioral Sciences']",PsyArXiv
Height and well-being amongst older Europeans,http://www.ucd.ie/geary/static/publications/workingpapers/gearywp201048.pdf,"Jul 10, 2014",[],RePEc
"International Aspects of the Great Depression and the Crisis of 2007: Similarities, Differences, and Lessons",http://repec.wesleyan.edu/pdf/rgrossman/2010002_grossman.pdf,"Nov 20, 2014",[],RePEc
"On the Way to the Great Depression, The Demand Regime of the US Economy (1900-1929)",http://economics.utah.edu/research/publications/2015_02.pdf,"Jan 12, 2017",[],RePEc
Meditation buffers medical student compassion from the deleterious effects of depression.,https://mindrxiv.org/jxdk8/,"Jul 2, 2018","['Medicine and Health Sciences', 'Alternative and Complementary Medicine', 'Social and Behavioral Sciences']",MindRxiv
The influence of subjective sleep quality on the association between eveningness and depressive symptoms.,https://psyarxiv.com/qkrsg/,"Jul 2, 2018","['Social and Behavioral Sciences', 'Psychology', 'Health Psychology', 'Life Sciences']",PsyArXiv
Symptom-level network analysis distinguishes the unique associations of repetitive negative thinking and experiential avoidance on depression and anxiety in a transdiagnostic clinical sample,https://psyarxiv.com/z7fps/,"Aug 6, 2019","['Social and Behavioral Sciences', 'Psychology', 'Clinical Psychology']",PsyArXiv
"The Relations between Cultural Life Scripts, Individual Life Stories, and Psychological Distress",https://psyarxiv.com/qvksz/,"Mar 12, 2020","['Social and Behavioral Sciences', 'Psychology', 'Cognitive Psychology', 'Clinical Psychology']",PsyArXiv
"Perla: A Conversational Agent for Depression Screening in Digital Ecosystems. Design, Implementation and Validation",https://psyarxiv.com/nfas4/,"Sep 2, 2020","['Social and Behavioral Sciences', 'Psychology', 'Clinical Psychology']",PsyArXiv
Race and life expectancy in the United States in the Great Depression,http://osf.io/876yw/,"Jun 28, 2021","['Social and Behavioral Sciences', 'Sociology', 'Demography, Population, and Ecology']",SocArXiv
Psychosocial determinants of antenatal anxiety and depression in Pakistan: Is social support a mediator?,http://peerj.com/preprints/463v3,"Aug 29, 2014","['Obstetrics and Gynecology', ""Women's Health"", 'Public Health', 'Psychiatry and Psychology']",PeerJ
Differential associations of various depression-related phenotypes with cardiometabolic risks: Identification of shared genetic factors and implications for drug repositioning,http://www.biorxiv.org/content/early/2017/08/23/140590,"Aug 23, 2017",[],bioRxiv
The use of culturally adapted and translated depression screening questionnaires with South Asian haemodialysis patients in England,https://psyarxiv.com/jua8m/,"Mar 10, 2021","['Social and Behavioral Sciences', 'Psychology', 'Clinical Psychology', 'Medicine and Health Sciences', 'Medical Specialties', 'Psychiatry']",PsyArXiv
PSYCHOLOGICAL DISTRESS EXPERIENCES OF NIGERIANS AMID COVID-19 PANDEMIC,https://psyarxiv.com/9v78y/,"Oct 1, 2020","['Social and Behavioral Sciences', 'Psychology', 'Health Psychology', 'Medicine and Health Sciences', 'Medical Specialties', 'Psychiatry']",PsyArXiv
Stress vulnerability promotes an alcohol prone phenotype in a preclinical model of sustained depression,http://www.biorxiv.org/content/early/2018/06/29/358606,"Jun 29, 2018",[],bioRxiv
The Great Recession vs. the Great Depression. Stylised Facts on Siblings that Were Given Different Foster Parents,http://www.wifo.ac.at/wwa/pubid/37761,"Jun 13, 2013",[],RePEc
Resting State Functional Connectivity and Outcomes of Psychotherapies for Late-life Depression,https://psyarxiv.com/uncsz/,"Feb 4, 2020","['Medicine and Health Sciences', 'Medical Specialties', 'Psychiatry']",PsyArXiv
Future expectations in clinical depression: biased or realistic?,https://psyarxiv.com/w96k2/,"Jul 9, 2020","['Social and Behavioral Sciences', 'Psychology', 'Clinical Psychology']",PsyArXiv
Social media markers to identify fathers at risk of postpartum depression,/tvyfj,"Jun 29, 2021","['Social and Behavioral Sciences', 'Medicine and Health Sciences', 'Health Information Technology', 'Psychology']",OSF Preprints
"Depression, Anxiety and Stress among Health Care Professionals on Duty in COVID-19 Wards",http://dx.doi.org/10.20944/PREPRINTS202010.0559.V1,"Oct 27, 2020",[],Preprints.org
Fiscal policies in Europe and the United States during the Great Depression,http://www.vatt.fi/publications/latestPublications/publication/Publication_1345_id/850,"Dec 12, 2013",[],RePEc
Youth Depression and Future Criminal Behavior,http://www.nber.org/papers/w18656.pdf,"May 16, 2013",[],RePEc
The Effect of 10 Week Exercise Program on the Depression Level of the Adolescents,http://iises.net/proceedings/27th-international-academic-conference-prague/table-of-content/detail?cid=53&iid=027&rid=6911,"Nov 17, 2016",[],RePEc
Depressive Traits and Theory of Mind in Healthy Individuals: A Mediation Study,https://thesiscommons.org/ndjcr/,"Aug 26, 2018","['Social and Behavioral Sciences', 'Psychology', 'Clinical Psychology', 'Life Sciences']",Thesis Commons
"A reassessment of the relationship between depression and all-cause mortality in 3,604,005 participants from 293 studies",https://psyarxiv.com/pu3w7/,"Jul 2, 2018","['Social and Behavioral Sciences', 'Psychology', 'Clinical Psychology', 'Quantitative Psychology', 'Life Sciences']",PsyArXiv
Profiles of Psychosocial and Clinical Functioning in Adolescence and Risk for Later Depression,https://psyarxiv.com/umc2x/,"Jul 28, 2020","['Social and Behavioral Sciences', 'Psychology', 'Clinical Psychology']",PsyArXiv
Contributions from resting state functional connectivity and familial risk to early adolescent-onset MDD: Results from the Adolescent Brain Cognitive Development study,https://psyarxiv.com/ypr6d/,"Sep 26, 2020","['Social and Behavioral Sciences', 'Psychology', 'Developmental Psychology', 'Life Sciences', 'Neuroscience and Neurobiology', 'Child Psychology', 'Cognitive Neuroscience', 'Medicine and Health Sciences', 'Medical Specialties', 'Psychiatry']",PsyArXiv
Depression Severity Estimation from Multiple Modalities,http://arxiv.org/abs/1711.06095,"Nov 17, 2017",['Computer Sciences'],arXiv
Price Indexes for Acute Phase Treatment of Depression,http://www.nber.org/papers/w6799.pdf,"Mar 16, 2017",[],RePEc
Evaluation of FlowVR: a virtual reality game for improvement of depressive mood,http://www.biorxiv.org/content/early/2018/10/25/451245,"Oct 25, 2018",[],bioRxiv
"Cognitive Behavioral Therapy combined with physical exercise for depression, anxiety, fatigue and pain in adults with chronic diseases: systematic review and meta-analysis",http://osf.io/as6c7/,"Jul 25, 2018","['Medicine and Health Sciences', 'Rehabilitation and Therapy', 'Life Sciences', 'Kinesiology', 'Psychology of Movement', 'Social and Behavioral Sciences', 'Sociology']",SportRxiv
Adolescent Emotion Network Dynamics in Daily Life and Implications for Depression,https://psyarxiv.com/7j92y/,"May 15, 2019","['Social and Behavioral Sciences', 'Psychology', 'Child Psychology', 'Clinical Psychology']",PsyArXiv
Anticipatory Pleasure for Future Experiences in Schizophrenia-Spectrum Disorders and Major Depression: A Systematic Review and Meta-Analysis,https://psyarxiv.com/gk9dy/,"Jul 7, 2020","['Social and Behavioral Sciences', 'Psychology', 'Clinical Psychology', 'Medicine and Health Sciences', 'Medical Specialties', 'Psychiatry']",PsyArXiv
Heterogeneity of treatment effects in trials on psychotherapy of depression,https://psyarxiv.com/mqzvy/,"Nov 25, 2020","['Life Sciences', 'Research Methods in Life Sciences', 'Medicine and Health Sciences', 'Medical Specialties', 'Psychiatry', 'Social and Behavioral Sciences', 'Psychology', 'Clinical Psychology']",PsyArXiv
An evaluation of the efficacy of two add-on ecological momentary intervention modules for depression in a pragmatic randomized controlled trial (ZELF-i),https://psyarxiv.com/8jfgc/,"Jan 4, 2021","['Social and Behavioral Sciences', 'Psychology', 'Counseling Psychology', 'Clinical Psychology', 'Medicine and Health Sciences', 'Medical Specialties', 'Psychiatry']",PsyArXiv
Single-Session Interventions for Adolescent Depression in the Context of COVID-19: A Nationwide Randomized-Controlled Trial,https://psyarxiv.com/ved4p/,"Jul 13, 2021","['Social and Behavioral Sciences', 'Psychology', 'Clinical Psychology', 'Counseling Psychology']",PsyArXiv
Machine Learning Approaches for Accurate Prediction of Relative Humidity based on Temperature and Wet-Bulb Depression,http://dx.doi.org/10.20944/PREPRINTS202002.0075.V2,"Nov 2, 2020",[],Preprints.org
The Gold Standard and the French Great Depression,http://economicdynamics.org/meetpapers/2010/paper_602.pdf,"Jul 21, 2016",[],RePEc
Financial market shocks during the Great Depression,http://www.federalreserve.gov/pubs/feds/2010/201022/201022pap.pdf,"Feb 25, 2016",[],RePEc
Dissociating cognitive and affective empathy in unipolar depression,https://thesiscommons.org/m4xjf/,"Nov 12, 2020","['Social and Behavioral Sciences', 'Psychology', 'Other Psychology']",Thesis Commons
"Assessing the Predictive Validity and Reliability of the DASS-21, PHQ-9 and GAD-7 in an Indonesian Sample",https://psyarxiv.com/eqcm9/,"Oct 4, 2020","['Medicine and Health Sciences', 'Medical Specialties', 'Psychiatry']",PsyArXiv
Reduced effective emotion regulation in night owls.,https://psyarxiv.com/4jxb5/,"Jul 2, 2018","['Social and Behavioral Sciences', 'Psychology', 'Health Psychology', 'Life Sciences']",PsyArXiv
"Resilience of Adolescents, Though Weakened DuringPandemic-Related Quarantine, Serves as a Protective Process Against Depression and Sleep Problems",https://psyarxiv.com/u86zj/,"Nov 16, 2020","['Social and Behavioral Sciences', 'Education', 'Educational Psychology', 'Psychology', 'Health Psychology']",PsyArXiv
The Great Recession and the Great Depression: Reflections and Lessons,http://si2.bcentral.cl/public/pdf/documentos-trabajo/pdf/dtbc593.pdf,"Oct 15, 2015",[],RePEc
A Heliocentric Journey into Germany's Great Depression,http://www.cepr.org/active/publications/discussion_papers/dp.php?dpno=4191,"Dec 4, 2014",[],RePEc
Not guilty? : agriculture in the 1920s and the Great Depression,http://e-archivo.uc3m.es/bitstream/handle/10016/389/dilf0502.pdf?sequence=1,"Mar 3, 2016",[],RePEc
Argentina's lost decade,http://dallasfed.org/assets/documents/research/claepapers/2001/lawp0104.pdf,"Feb 25, 2016",[],RePEc
"TRIGGERS FOR DEPRESSION AND WAYS TO TACKLE THIS CHALLENGE//Actual Problems of Applied Sciences Journal World, 2(12), 2019/ Chief Editor Markus Hemmer: Open European Academy of Public Sciences (OEAPS Inc.). Barcelona, Spain, 2019. PP.22-27.",/kz49c,"Feb 7, 2019","['Arts and Humanities', 'Education', 'Social and Behavioral Sciences']",OSF Preprints
"Relationship between depression symptoms and music use: The role of trait affect, music skills, music preferences",https://psyarxiv.com/jmfke/,"Oct 12, 2020","['Arts and Humanities', 'Music', 'Social and Behavioral Sciences', 'Psychology', 'Clinical Psychology']",PsyArXiv
Evaluation of the Severity of Major Depression Using a Voice Index for Emotional Arousal,http://dx.doi.org/10.20944/PREPRINTS202008.0221.V1,"Aug 9, 2020",[],Preprints.org
"Dimensional Anhedonia and the Adolescent brain: Reward and Aversion Anticipation, Effort and Consummation.",http://www.biorxiv.org/content/early/2018/11/19/473835,"Nov 19, 2018",[],bioRxiv
The Political Economy of the Smoot-Hawley Tariff,http://www.nber.org/papers/w2001.pdf,"Mar 16, 2017",[],RePEc
Whole-Cortex Mapping of Common Genetic Influences on Depression and Social Deficits,http://dx.doi.org/10.1101/500827,"Dec 18, 2018",[],bioRxiv
The Great Recession versus the Great Depression: stylized facts on siblings that were given different foster parents,http://www.econstor.eu/bitstream/10419/30024/1/618930884.pdf,"Nov 17, 2016",[],RePEc
Attentional Bias Components in Anxiety and Depression: A Systematic Review,https://psyarxiv.com/2twux/,"Oct 19, 2020","['Social and Behavioral Sciences', 'Psychology', 'Clinical Psychology']",PsyArXiv
Longitudinal relationship between cognition and depressive symptoms in older adults from the Virginia Cognitive Aging Project: a latent dual change score analysis,https://psyarxiv.com/p6fmd/,"Sep 28, 2020","['Social and Behavioral Sciences', 'Psychology', 'Cognitive Psychology', 'Clinical Psychology']",PsyArXiv
The impact of maternal adverse childhood experiences and prenatal depressive symptoms on foetal attachment: Preliminary evidence from expectant mothers across eight middle-income countries,https://psyarxiv.com/rgtq6/,"Jan 14, 2021","['Social and Behavioral Sciences', 'Psychology', 'Developmental Psychology', 'Child Psychology']",PsyArXiv
Network analyses reveal which symptoms improve (or not) following an Internet intervention (Deprexis) for depression,https://psyarxiv.com/ca5dg/,"Jul 1, 2020","['Social and Behavioral Sciences', 'Psychology', 'Clinical Psychology']",PsyArXiv
Oral Contraceptive Use in Adolescence Predicts Vulnerability to Depression in Adulthood,/j4b85,"Jul 2, 2018","['Medicine and Health Sciences', 'Public Health', ""Women's Health"", 'Mental and Social Health', 'Psychiatric and Mental Health', 'Psychiatry and Psychology', 'Mental Disorders']",OSF Preprints
Examining Symptom-level Networks of Youth- and Parent-reported Depression and Anxiety in a Transdiagnostic Clinical Sample,/ah6us,"May 11, 2021","['Social and Behavioral Sciences', 'Psychology', 'Child Psychology']",OSF Preprints
Neurocognitive predictors of self-reported reward responsivity and approach motivation in depression: a data-driven approach,https://psyarxiv.com/steuk/,"Jun 29, 2021","['Social and Behavioral Sciences', 'Psychology', 'Clinical Psychology', 'Medicine and Health Sciences', 'Medical Specialties', 'Psychiatry']",PsyArXiv
Psychotherapy in Antidepressant Patients,http://www.maxwell.syr.edu/uploadedFiles/cpr/publications/working_papers2/wp47.pdf,"May 15, 2014",[],RePEc
Genome-wide meta-analysis of depression identifies 102 independent variants and highlights the importance of the prefrontal brain regions.,http://dx.doi.org/10.1101/433367,"Jan 8, 2019",[],bioRxiv
Static Versus Dynamic Structural Models of Depression: The Case of the CES-D,http://www.cirano.qc.ca/files/publications/2002s-37.pdf,"Feb 26, 2015",[],RePEc
Statin treatment and the risk of depression,http://www.biorxiv.org/content/early/2018/06/17/349332,"Jun 17, 2018",[],bioRxiv
A randomized placebo-controlled trial on the antidepressant effects of the psychedelic ayahuasca in treatment-resistant depression,http://dx.doi.org/10.1101/103531,"Aug 15, 2017",[],bioRxiv
"The Shamiri Group Intervention for Adolescent Anxiety and Depression: Study Protocol for a Randomized Controlled Trial of a Lay Provider-Delivered, School-Based Intervention in Kenya",https://psyarxiv.com/wh6q5/,"Aug 17, 2020","['Social and Behavioral Sciences', 'Psychology', 'Counseling Psychology', 'Clinical Psychology']",PsyArXiv
"Genome-wide association study of depression phenotypes in UK Biobank (n = 322,580) identifies the enrichment of variants in excitatory synaptic pathways",http://dx.doi.org/10.1101/168732,"Aug 1, 2017",[],bioRxiv
Mechanisms of Parental Stress During and After the COVID-19 Lockdown: A two-wave longitudinal study,https://psyarxiv.com/76pgw/,"Jan 2, 2021","['Medicine and Health Sciences', 'Medical Specialties', 'Psychiatry', 'Social and Behavioral Sciences', 'Psychology', 'Clinical Psychology', 'Health Psychology']",PsyArXiv
Hormonal Oral Contraceptive Use and Depression and Anxiety in England,/f7bd8,"Feb 4, 2021","['Medicine and Health Sciences', 'Public Health', 'Mental and Social Health']",OSF Preprints
Oscillations in Spurious States of the Associative Memory Model with Synaptic Depression,http://arxiv.org/abs/1405.2165,"Nov 27, 2014",['Biology'],arXiv
"Depression in the Wrestlers Wrestling Training Center, the Ä°nvestigation of Anxiety and Stress Levels",http://iises.net/proceedings/international-academic-conference-rome/table-of-content/detail?cid=10&iid=009&rid=3484,"Feb 4, 2016",[],RePEc
"Political Depression? A Big-Data, Multi-Method Investigation of Americans’ Emotional Response to the Trump Presidency",https://psyarxiv.com/dk34j/,"Sep 28, 2020","['Social and Behavioral Sciences', 'Psychology', 'Personality and Social Contexts']",PsyArXiv
Multidimensional Understanding of Religiosity/Spirituality: Relationship to Major Depression and Familial Risk,/6qud4,"Jan 24, 2020","['Medicine and Health Sciences', 'Psychiatry and Psychology']",OSF Preprints
"Relationships between Nutrition and Physical Activity, and the Symptoms of Insomnia, Depression and Anxiety among Adolescents in South China During COVID-19 Pandemic",https://psyarxiv.com/nkwm7/,"Oct 20, 2020","['Social and Behavioral Sciences', 'Psychology', 'Cognitive Psychology']",PsyArXiv
Feasibility and efficacy of the addition of heart rate variability biofeedback to a remote digital health intervention for depression,https://psyarxiv.com/8wpq7/,"Jul 26, 2020","['Social and Behavioral Sciences', 'Psychology', 'Clinical Psychology', 'Medicine and Health Sciences', 'Medical Specialties', 'Psychiatry']",PsyArXiv
Transitions in Depression (TRANS-ID) Recovery: Study protocol for a repeated intensive longitudinal n = 1 study design to search for personalized early warning signals of critical transitions towards improvement in depression,https://psyarxiv.com/fertq/,"Jan 25, 2021","['Social and Behavioral Sciences', 'Psychology', 'Quantitative Psychology', 'Clinical Psychology', 'Medicine and Health Sciences', 'Psychiatry and Psychology', 'Mental Disorders', 'Medical Specialties', 'Psychiatry']",PsyArXiv
Emotional complexity across the life story: Diminished positive emodiversity and elevated negative emodiversity in sufferers of chronic depression,https://psyarxiv.com/kg23q/,"Nov 19, 2018","['Social and Behavioral Sciences', 'Psychology', 'Clinical Psychology']",PsyArXiv
Late chronotype is associated with enhanced amygdala reactivity and reduced fronto-limbic functional connectivity to fearful versus happy facial expressions,https://psyarxiv.com/m5qsb/,"Jul 2, 2018","['Social and Behavioral Sciences', 'Psychology', 'Cognitive Psychology']",PsyArXiv
Depression in early adolescence: Contributions from relational aggression and variation in the oxytocin receptor gene,https://psyarxiv.com/kjgwr/,"Jul 2, 2018","['Social and Behavioral Sciences', 'Psychology', 'Child Psychology', 'Clinical Psychology']",PsyArXiv
Positive Imagery Training Increases Positive Self-Referent Cognition in Depression,https://psyarxiv.com/7xkhg/,"Dec 4, 2018","['Social and Behavioral Sciences', 'Psychology', 'Clinical Psychology']",PsyArXiv
"Real Origins of the Great Depression: Monopolistic Competition, Union Power, and the American Business Cycle in the 1920s",http://sfb649.wiwi.hu-berlin.de/papers/pdf/SFB649DP2007-006.pdf,"Oct 20, 2016",[],RePEc
"The Psychological Wellbeing of Involved, Low Income Fathers",http://crcw.princeton.edu/workingpapers/WP12-13-FF.pdf,"Oct 31, 2013",[],RePEc
Tariffs and the Great Depression Revisited,http://www.accessecon.com/pubs/VUECON/vu03-w16.pdf,"Nov 24, 2016",[],RePEc
Investigating the mediating effect of working memory on intentional forgetting in dysphoria,https://psyarxiv.com/ud3vh/,"Dec 5, 2018","['Social and Behavioral Sciences', 'Psychology', 'Cognition and Perception', 'Clinical Psychology']",PsyArXiv
Extraversion but not Depression Predicts Implicit Reward Sensitivity: Revisiting the Measurement of Anhedonic Phenotypes,https://psyarxiv.com/vzt6d/,"Jun 22, 2020","['Social and Behavioral Sciences', 'Psychology', 'Social Psychology', 'Clinical Psychology', 'Personality and Social Contexts']",PsyArXiv
A Review of Popular Smartphone Apps for Depression and Anxiety: Assessing the Inclusion of Evidence-Based Content,https://psyarxiv.com/zp362/,"Jan 2, 2020","['Social and Behavioral Sciences', 'Psychology', 'Clinical Psychology', 'Counseling Psychology']",PsyArXiv
Maternal Psychological Distress & Mental Health Service Use during the COVID-19 Pandemic,https://psyarxiv.com/a53zb/,"Sep 29, 2020","['Social and Behavioral Sciences', 'Psychology', 'Developmental Psychology', 'Clinical Psychology', 'Child Psychology']",PsyArXiv
Evidence for a specific regional association between lateral orbitofrontal cortex morphometry and increased appetite in major depression,https://psyarxiv.com/9mh3f/,"Feb 17, 2021","['Life Sciences', 'Medicine and Health Sciences', 'Medical Specialties', 'Psychiatry', 'Neuroscience and Neurobiology']",PsyArXiv
The COVID States Project #54: Mental health in the United States,/8fr6s,"Jul 6, 2021","['Medicine and Health Sciences', 'Public Health', 'Psychiatry and Psychology']",OSF Preprints
"Depression, sleeping pattern & suicidal ideation among medical students in Bangladesh: A cross-sectional pilot study",https://psyarxiv.com/qk24v/,"Sep 23, 2020","['Medicine and Health Sciences', 'Medical Specialties', 'Psychiatry']",PsyArXiv
Treating depression with a smartphone-delivered self-help cognitive behavioral therapy for insomnia: A parallel-group randomized controlled trial,https://psyarxiv.com/7p5t6/,"Jan 19, 2021","['Medicine and Health Sciences', 'Medical Specialties', 'Psychiatry']",PsyArXiv
The value of bank relationships: Evidence from Belgium at the start of the Great Depression,http://anet.uantwerpen.be/docman/irua/57928a/1f32312d.pdf,"Sep 24, 2015",[],RePEc
On the welfare gains of reducing the likelihood of economic crises.,http://www.philadelphiafed.org/research-and-data/publications/working-papers/2000/wp00-14.pdf,"Feb 25, 2016",[],RePEc
Cinema is good for you: the effects of cinema attendance on self reported anxiety or depression and 'happiness',http://www.iser.essex.ac.uk/research/publications/working-papers/iser/2005-14.pdf,"Oct 1, 2015",[],RePEc
Tariffs and the Great Depression revisited,http://www.newyorkfed.org/medialibrary/media/research/staff_reports/sr172.html,"Dec 22, 2016",[],RePEc
"Implicit Contracts, the Great Depression, and Institutional Change: A Comparative Analysis of U.S. and Japanese Employment Relations, 1920-1940",http://www.nber.org/papers/w9559.pdf,"Mar 16, 2017",[],RePEc
Depression as a Nash Equilibrium Consisting of Strategies of Choosing a Pareto Inefficient Transition Path,http://mpra.ub.uni-muenchen.de/18987/1/MPRA_paper_18987.pdf,"Oct 29, 2015",[],RePEc
Housing and the Great Depression,http://web2.uconn.edu/economics/working/2012-47.pdf,"Aug 28, 2014",[],RePEc
Family Structure Transitions and Changes in Maternal Resources and Well-Being,http://crcw.princeton.edu/workingpapers/WP10-09-FF.pdf,"Feb 5, 2015",[],RePEc
"Learning, Inflation Cycles, and Depression",http://www2.econ.osaka-u.ac.jp/library/global/dp/0614.pdf,"Nov 17, 2016",[],RePEc
Investigating Inflammation in depression in the chronically ill: A theoretical model,https://psyarxiv.com/54gqe/,"Mar 13, 2021","['Life Sciences', 'Medicine and Health Sciences', 'Medical Specialties', 'Psychiatry']",PsyArXiv
"The Mental Health of Latinx Adults in the United States During the Coronavirus Pandemic: A Snapshot of Anxiety, Depression, and Posttraumatic Stress Symptoms",https://psyarxiv.com/uq5y2/,"Jan 14, 2021","['Social and Behavioral Sciences', 'Psychology', 'Clinical Psychology', 'Medicine and Health Sciences', 'Psychiatry and Psychology', 'Mental Disorders']",PsyArXiv
Parenting in a Pandemic: Parental Stress During the Physical Distancing Intervention Following the onset of the COVID-19 Outbreak,https://psyarxiv.com/3nsda/,"Feb 5, 2021","['Social and Behavioral Sciences', 'Psychology', 'Health Psychology', 'Life Sciences', 'Clinical Psychology']",PsyArXiv
Ionization potential depression and dynamical structure factor in dense plasmas,http://dx.doi.org/10.1103/PHYSREVE.96.013202,"Jul 12, 2017",['Physics'],arXiv
"International students' loneliness, depression and stress levels in COVID-19 crisis. The role of social media and the host university",http://arxiv.org/abs/2005.12806v1,"May 26, 2020",[],arXiv
Forecasting the Depression: Harvard Versus Yale,http://cowles.yale.edu/sites/default/files/files/pub/d08/d0808.pdf,"Oct 1, 2015",[],RePEc
On the aggregate welfare cost of Great Depression unemployment,http://www.philadelphiafed.org/research-and-data/publications/working-papers/2006/wp06-18.pdf,"Feb 25, 2016",[],RePEc
Inflation Expectations and Recovery from the Depression in 1933: Evidence from the Narrative Record,http://dx.doi.org/10.17016/FEDS.2015.029,"May 7, 2015",[],RePEc
A Distributional Analysis of Displacement Costs in an Economic Depression and Recovery,http://www.vatt.fi/publications/latestPublications/publication/Publication_1345_id/805,"Nov 17, 2016",[],RePEc
The Global 1970s and the Echo of the Great Depression,http://www.nber.org/papers/w15475.pdf,"Nov 13, 2014",[],RePEc
Depression for Economists,http://www.nber.org/papers/w22973.pdf,"Dec 29, 2016",[],RePEc
Nominal Wage Stickiness and Aggregate Supply in the Great Depression,http://www.nber.org/papers/w5439.pdf,"Mar 16, 2017",[],RePEc
"Discrepancies between publication, protocol and registration",/ne26f,"May 12, 2021","['Medicine and Health Sciences', 'Psychiatry and Psychology', 'Mental Disorders']",OSF Preprints
Causal effects of lifetime smoking on risk for depression and schizophrenia: Evidence from a Mendelian randomisation study,http://www.biorxiv.org/content/early/2018/12/20/381301,"Dec 20, 2018",[],bioRxiv
Rethinking childhood adversity in chronic fatigue syndrome,http://peerj.com/preprints/1571,"Dec 7, 2015",['Neurology'],PeerJ
Symptoms of Depression in a Large Healthy Population Cohort are related to Subjective Memory Complaints and Memory Performance in Negative Contexts,http://biorxiv.org/content/early/2017/01/20/101642,"Jan 20, 2017",[],bioRxiv
